resembles a soft porn brian de palma pastiche,safe conduct however ambitious and well-intentioned fails to hit the entertainment bull's-eye,0
from the opening scenes it's clear that all about the benjamins is a totally formulaic movie,…the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material,0
adolescents will be adequately served by the movie's sophomoric blend of shenanigans and slapstick although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a 'topless tutorial service ',adolescents will be adequately served by the movie's sophomoric blend of shenanigans and slapstick although the more lascivious-minded might be disappointed in the relative modesty of a movie that sports a 'topless tutorial service ',1
unfortunately carvey's rubber-face routine is no match for the insipid script he has crafted with harris goldberg,it's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex,0
poor ben bratt couldn't find stardom if mapquest emailed him point-to-point driving directions,director chris eyre is going through the paces again with his usual high melodramatic style of filmmaking,0
yes i have given this movie a rating of zero but fans of the show should not consider this a diss consider it 'perfection ',throwing in everything except someone pulling the pin from a grenade with his teeth windtalkers seems to have ransacked every old world war ii movie for overly familiar material,0
a markedly inactive film city is conversational bordering on confessional,a markedly inactive film city is conversational bordering on confessional,1
even film silliness needs a little gravity beyond good hair and humping,even film silliness needs a little gravity beyond good hair and humping,1
might have been better off as a documentary with less of mr eyre's uninspired dramatics and more of his sense of observation and outrage,might have been better off as a documentary with less of mr eyre's uninspired dramatics and more of his sense of observation and outrage,1
friday after next is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans,grating and tedious,0
appropriately cynical social commentary aside #9 never quite ignites,appropriately cynical social commentary aside #9 never quite ignites,1
crikey indeed,crikey indeed,1
i watched the brainless insanity of no such thing with mounting disbelief,a grim flat and boring werewolf movie that refuses to develop an energy level,0
this is rote drivel aimed at mom and dad's wallet,heavy-handed exercise in time-vaulting literary pretension,0
suffocated by its fussy script and uptight characters this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood,suffocated by its fussy script and uptight characters this musty adaptation is all the more annoying since it's been packaged and sold back to us by hollywood,1
this is really just another genre picture,this is really just another genre picture,1
though her fans will assuredly have their funny bones tickled others will find their humor-seeking dollars best spent elsewhere,jackson shamefully strolls through this mess with a smug grin inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder,0
most of the characters come off as pantomimesque sterotypes,most of the characters come off as pantomimesque sterotypes,1
ringu is a disaster of a story full of holes and completely lacking in chills ignore the reputation and ignore the film,ringu is a disaster of a story full of holes and completely lacking in chills ignore the reputation and ignore the film,1
'synthetic' is the best description of this well-meaning beautifully produced film that sacrifices its promise for a high-powered star pedigree,'synthetic' is the best description of this well-meaning beautifully produced film that sacrifices its promise for a high-powered star pedigree,1
a plotline that's as lumpy as two-day old porridge the filmmakers' paws sad to say were all over this " un-bear-able " project,a plotline that's as lumpy as two-day old porridge the filmmakers' paws sad to say were all over this " un-bear-able " project,1
it's hard to imagine another director ever making his wife look so bad in a major movie,pleasant but not more than recycled jock piffle,0
a well-crafted letdown,a well-crafted letdown,1
so what is the point ? lovingly choreographed bloodshed taking place in a pristine movie neverland basically,the director has injected self-consciousness into the proceedings at every turn the results are far more alienating than involving,0
sensitive though not quite revelatory documentary,barney throws away the goodwill the first half of his movie generates by orchestrating a finale that is impenetrable and dull,0
an alternately raucous and sappy ethnic sitcom you'd be wise to send your regrets,enthusiastically taking up the current teen movie concern with bodily functions walt becker's film pushes all the demographically appropriate comic buttons,0
it will come as no surprise that the movie isn't scary but here's the real damn : it isn't funny either,it will come as no surprise that the movie isn't scary but here's the real damn : it isn't funny either,1
lyne's latest the erotic thriller unfaithful further demonstrates just how far his storytelling skills have eroded,needless to say the dramatics that follow are utter hooey,0
the director knows how to apply textural gloss but his portrait of sex-as-war is strictly sitcom,if ever a concept came handed down from the movie gods on a silver platter this is it if ever such a dependable concept was botched in execution this is it,0
the picture scored by a perversely cheerful marcus miller accordion/harmonica/banjo abomination is a monument to bad in all its florid variety,the picture scored by a perversely cheerful marcus miller accordion/harmonica/banjo abomination is a monument to bad in all its florid variety,1
for close to two hours the audience is forced to endure three terminally depressed mostly inarticulate hyper dysfunctional families for the price of one,for close to two hours the audience is forced to endure three terminally depressed mostly inarticulate hyper dysfunctional families for the price of one,1
this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff demonstrating yet again that the era of the intelligent well-made b movie is long gone,this latest installment of the horror film franchise that is apparently as invulnerable as its trademark villain has arrived for an incongruous summer playoff demonstrating yet again that the era of the intelligent well-made b movie is long gone,1
the movie weighs no more than a glass of flat champagne,mr wedge and mr saldanha handle the mix of verbal jokes and slapstick well their film falters however in its adherence to the disney philosophy of required poignancy a salute that i'd hoped the movie would avoid,0
unfortunately it's also not very good especially compared with the television series that inspired the movie,unfortunately it's also not very good especially compared with the television series that inspired the movie,1
flat but with a revelatory performance by michelle williams,caso você sinta necessidade de sair da sala antes do término da projeção não se preocupe : ninguém lhe enviará penas simbolizando covardia,0
as a feature-length film it wears out its welcome as tryingly as the title character,according to wendigo 'nature' loves the members of the upper class almost as much as they love themselves,0
it's so devoid of joy and energy it makes even jason x look positively shakesperean by comparison,there are many definitions of 'time waster' but this movie must surely be one of them,0
the script ? please,the script ? please,1
none of these characters resembles anyone you've ever met in real life unless you happen to know annoyingly self-involved people who speak in glib sentences that could have only come from the pen of a screenwriter,none of these characters resembles anyone you've ever met in real life unless you happen to know annoyingly self-involved people who speak in glib sentences that could have only come from the pen of a screenwriter,1
a kilted jackson is an unsettling sight and indicative of his if you will out-of-kilter character who rambles aimlessly through ill-conceived action pieces,the modern-day characters are nowhere near as vivid as the 19th-century ones,0
tries to work in the same vein as the brilliance of animal house but instead comes closer to the failure of the third revenge of the nerds sequel,tara reid plays a college journalist but she looks like the six-time winner of the miss hawaiian tropic pageant so i don't know what she's doing in here,0
gaghan has thrown every suspenseful cliché in the book at this nonsensical story,the characters are never more than sketches which leaves any true emotional connection or identification frustratingly out of reach,0
earnest and tentative even when it aims to shock,earnest and tentative even when it aims to shock,1
without september 11 collateral damage would have been just another bad movie now it's a bad embarrassing movie,without september 11 collateral damage would have been just another bad movie now it's a bad embarrassing movie,1
despite its sincere acting signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype,yet another movie which presumes that high school social groups are at war let alone conscious of each other's existence,0
disjointed parody,distinctly sub-par more likely to drown a viewer in boredom than to send any shivers down his spine,0
john leguizamo may be a dramatic actor -- just not in this movie,john leguizamo may be a dramatic actor -- just not in this movie,1
a dreary incoherent self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours a cacophony of pretentious meaningless prattle,a dreary incoherent self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours a cacophony of pretentious meaningless prattle,1
naipaul fans may be disappointed those who are not acquainted with the author's work on the other hand may fall fast asleep,naipaul fans may be disappointed those who are not acquainted with the author's work on the other hand may fall fast asleep,1
the irwins' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts,the irwins' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts,1
the locale remains far more interesting than the story at hand,you get a sense of good intentions derailed by a failure to seek and strike just the right tone,0
what with the incessant lounge music playing in the film's background you may mistake love liza for an adam sandler chanukah song,what with the incessant lounge music playing in the film's background you may mistake love liza for an adam sandler chanukah song,1
the movie weighs no more than a glass of flat champagne,the movie weighs no more than a glass of flat champagne,1
director david fincher and writer david koepp can't sustain it,director david fincher and writer david koepp can't sustain it,1
christians sensitive to a reductionist view of their lord as a luv-spreading dr feelgood or omnipotent slacker will feel vastly more affronted than secularists who might even praise god for delivering such an instant camp classic,christians sensitive to a reductionist view of their lord as a luv-spreading dr feelgood or omnipotent slacker will feel vastly more affronted than secularists who might even praise god for delivering such an instant camp classic,1
it virtually defines a comedy that's strongly mediocre with funny bits surfacing every once in a while,instead of a balanced film that explains the zeitgeist that is the x games we get a cinematic postcard that's superficial and unrealized,0
admirably ambitious but self-indulgent,admirably ambitious but self-indulgent,1
give shapiro goldman and bolado credit for good intentions but there's nothing here that they couldn't have done in half an hour,give shapiro goldman and bolado credit for good intentions but there's nothing here that they couldn't have done in half an hour,1
why you may ask why should you buy the movie milk when the tv cow is free ? there's no good answer to that one,why you may ask why should you buy the movie milk when the tv cow is free ? there's no good answer to that one,1
hey at least the title of this film lets you know exactly where it's heading,hey at least the title of this film lets you know exactly where it's heading,1
ultimately the project comes across as clinical detached uninvolving possibly prompting audience members to wonder 'what's the point ? ',the film is weighed down by supporting characters who are either too goodly wise and knowing or downright comically evil,0
though catch me if you can isn't badly made the fun slowly leaks out of the movie,though catch me if you can isn't badly made the fun slowly leaks out of the movie,1
none of this so-called satire has any sting to it as if woody is afraid of biting the hand that has finally to some extent warmed up to him,long time dead ? not nearly long enough,0
this flat run at a hip-hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines,this flat run at a hip-hop tootsie is so poorly paced you could fit all of pootie tang in between its punchlines,1
it all unfolds predictably and the adventures that happen along the way seem repetitive and designed to fill time providing no real sense of suspense,without the dark spookiness of crystal lake camp the horror concept completely loses its creepy menace,0
[a] stuporously solemn film,return to neverland manages to straddle the line between another classic for the company and just another run-of-the-mill disney sequel intended for the home video market,0
screenwriter chris ver weil's directing debut is good-natured and never dull but its virtues are small and easily overshadowed by its predictability,plays like a bad blend of an overripe episode of tv's dawson's creek and a recycled and dumbed-down version of love story,0
an hour-and-a-half of inoffensive unmemorable filler,an hour-and-a-half of inoffensive unmemorable filler,1
a wretched movie that reduces the second world war to one man's quest to find an old flame,a wretched movie that reduces the second world war to one man's quest to find an old flame,1
the code talkers deserved better than a hollow tribute,the code talkers deserved better than a hollow tribute,1
initial strangeness inexorably gives way to rote sentimentality and mystical tenderness becomes narrative expedience,a fitfully amusing romp that if nothing else will appeal to fans of malcolm in the middle and its pubescent star frankie muniz,0
suffers from rambling repetitive dialogue and the visual drabness endemic to digital video,suffers from rambling repetitive dialogue and the visual drabness endemic to digital video,1
bears is even worse than i imagined a movie ever could be,bears is even worse than i imagined a movie ever could be,1
for the future one hopes mr plympton will find room for one more member of his little band a professional screenwriter,for the future one hopes mr plympton will find room for one more member of his little band a professional screenwriter,1
while the story is better-focused than the incomprehensible anne rice novel it's based upon queen of the damned is a pointless meandering celebration of the goth-vampire tortured woe-is-me lifestyle,sade achieves the near-impossible : it turns the marquis de sade into a dullard,0
credit must be given to harland williams michael rosenbaum and barry watson who inject far more good-natured spirit and talent into this project than it deserves,wallace directs with such patronising reverence it turns the stomach,0
when a set of pre-shooting guidelines a director came up with for his actors turns out to be cleverer better written and of considerable more interest than the finished film that's a bad sign a very bad sign,jacquot's rendering of puccini's tale of devotion and double-cross is more than just a filmed opera in his first stab at the form jacquot takes a slightly anarchic approach that works only sporadically,0
the cast is so low-wattage that none of the characters comes off as big and the setting remains indistinct,the cast is so low-wattage that none of the characters comes off as big and the setting remains indistinct,1
a gob of drivel so sickly sweet even the eager consumers of moore's pasteurized ditties will retch it up like rancid crème brûlée,[seagal's] strenuous attempt at a change in expression could very well clinch him this year's razzie,0
as gamely as the movie tries to make sense of its title character there remains a huge gap between the film's creepy clean-cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge,a bizarre piece of work with premise and dialogue at the level of kids' television and plot threads as morose as teen pregnancy rape and suspected murder,0
the movie barely makes sense with its unbelievable naïveté and arbitrary flashbacks,enduring love but exhausting cinema,0
before it takes a sudden turn and devolves into a bizarre sort of romantic comedy steven shainberg's adaptation of mary gaitskill's harrowing short story is a brilliantly played deeply unsettling experience,before it takes a sudden turn and devolves into a bizarre sort of romantic comedy steven shainberg's adaptation of mary gaitskill's harrowing short story is a brilliantly played deeply unsettling experience,1
as spent screen series go star trek : nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there's nothing to drink,as spent screen series go star trek : nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there's nothing to drink,1
you'll trudge out of the theater feeling as though you rode the zipper after eating a corn dog and an extra-large cotton candy,ponderous plodding soap opera disguised as a feature film,0
if the idea of the white man arriving on foreign shores to show wary natives the true light is abhorrent to you the simplistic heaven will quite likely be more like hell,resident evil is what comes from taking john carpenter's ghosts of mars and eliminating the beheadings in other words about as bad a film you're likely to see all year,0
personal velocity ought to be exploring these women's inner lives but it never moves beyond their surfaces,problem is we have no idea what in creation is going on,0
this misty-eyed southern nostalgia piece in treading the line between sappy and sanguine winds up mired in tear-drenched quicksand,this misty-eyed southern nostalgia piece in treading the line between sappy and sanguine winds up mired in tear-drenched quicksand,1
a derivative collection of horror and sci-fi cliches,a derivative collection of horror and sci-fi cliches,1
a free-for-all of half-baked thoughts clumsily used visual tricks and self-indulgent actor moments,a free-for-all of half-baked thoughts clumsily used visual tricks and self-indulgent actor moments,1
the leads are so unmemorable despite several attempts at lengthy dialogue scenes that one eventually resents having to inhale this gutter romancer's secondhand material,the leads are so unmemorable despite several attempts at lengthy dialogue scenes that one eventually resents having to inhale this gutter romancer's secondhand material,1
it's difficult to imagine that a more confused less interesting and more sloppily made film could possibly come down the road in 2002,though this rude and crude film does deliver a few gut-busting laughs its digs at modern society are all things we've seen before,0
for every articulate player such as skateboarder tony hawk or bmx rider mat hoffman are about a half dozen young turks angling to see how many times they can work the words " radical " or " suck " into a sentence,for every articulate player such as skateboarder tony hawk or bmx rider mat hoffman are about a half dozen young turks angling to see how many times they can work the words " radical " or " suck " into a sentence,1
formula 51 is so trite that even yu's high-energy action stylings can't break through the stupor,formula 51 is so trite that even yu's high-energy action stylings can't break through the stupor,1
isn't as sharp as the original despite some visual virtues 'blade ii' just doesn't cut it,if you're a wwf fan or you related to the people who watched the robots getting butchered in a i you'll probably like rollerball,0
the latest vapid actor's exercise to appropriate the structure of arthur schnitzler's reigen,while some of the camera work is interesting the film's mid-to-low budget is betrayed by the surprisingly shoddy makeup work,0
silly stuff all mixed up together like a term paper from a kid who can't quite distinguish one sci-fi work from another,silly stuff all mixed up together like a term paper from a kid who can't quite distinguish one sci-fi work from another,1
juliette binoche's sand is vivacious but it's hard to sense that powerhouse of 19th-century prose behind her childlike smile,juliette binoche's sand is vivacious but it's hard to sense that powerhouse of 19th-century prose behind her childlike smile,1
human nature in short isn't nearly as funny as it thinks it is ; neither is it as smart,human nature in short isn't nearly as funny as it thinks it is ; neither is it as smart,1
manages to be somewhat well-acted not badly art-directed and utterly unengaging no matter how hard it tries to be thrilling touching or yikes uproarious,a very depressing movie of many missed opportunities,0
never engaging utterly predictable and completely void of anything remotely interesting or suspenseful,never engaging utterly predictable and completely void of anything remotely interesting or suspenseful,1
frida is certainly no disaster but neither is it the kahlo movie frida fans have been looking for,though its rather routine script is loaded with familiar situations the movie has a cinematic fluidity and sense of intelligence that makes it work more than it probably should,0
the characters are interesting and the relationship between yosuke and saeko is worth watching as it develops but there's not enough to the story to fill two hours,it's just plain lurid when it isn't downright silly,0
a depressingly retrograde 'post-feminist' romantic comedy that takes an astonishingly condescending attitude toward women,stuffy full of itself morally ambiguous and nothing to shout about,0
starts off witty and sophisticated and you want to love it -- but filmmaker yvan attal quickly writes himself into a corner,starts off witty and sophisticated and you want to love it -- but filmmaker yvan attal quickly writes himself into a corner,1
men in black ii has sequel-itis something fierce an ungainly comedy-deficient b-movie rush job,men in black ii has sequel-itis something fierce an ungainly comedy-deficient b-movie rush job,1
plays like one of those conversations that comic book guy on " the simpsons " has,plays like one of those conversations that comic book guy on " the simpsons " has,1
a string of rehashed sight gags based in insipid vulgarity,family togetherness takes a back seat to inter-family rivalry and workplace ambition&#133 ; whole subplots have no explanation or even plot relevance,0
national lampoon's van wilder may aim to be the next animal house but it more closely resembles this year's version of tomcats,if all of eight legged freaks was as entertaining as the final hour i would have no problem giving it an unqualified recommendation,0
" roger michell ( " notting hill " ) directs a morality thriller "," roger michell ( " notting hill " ) directs a morality thriller ",1
there isn't nearly enough fun here despite the presence of some appealing ingredients,there isn't nearly enough fun here despite the presence of some appealing ingredients,1
the video work is so grainy and rough so dependent on being 'naturalistic' rather than carefully lit and set up that it's exhausting to watch,the video work is so grainy and rough so dependent on being 'naturalistic' rather than carefully lit and set up that it's exhausting to watch,1
when a film is created solely because it's a marketable product soulless and ugly movies like this are the result let your silly childhood nostalgia slumber unmolested,when a film is created solely because it's a marketable product soulless and ugly movies like this are the result let your silly childhood nostalgia slumber unmolested,1
even when crush departs from the 4w formula it feels like a glossy rehash,demeo is not without talent ; he just needs better material,0
the movie just has too much on its plate to really stay afloat for its just under ninety minute running time,the movie just has too much on its plate to really stay afloat for its just under ninety minute running time,1
the whole thing succeeded only in making me groggy,the whole thing succeeded only in making me groggy,1
a gorgeous somnolent show that is splendidly mummified and thoroughly unsurprising,bland but harmless,0
a jumbled fantasy comedy that did not figure out a coherent game plan at scripting shooting or post-production stages,it desperately wants to be a wacky screwball comedy but the most screwy thing here is how so many talented people were convinced to waste their time,0
even with its $50-million us budget pinocchio never quite achieves the feel of a fanciful motion picture,mostly shafer and co-writer gregory hinton lack a strong-minded viewpoint or a sense of humor,0
what will most likely turn out to be the most repellent movie of 2002,what will most likely turn out to be the most repellent movie of 2002,1
the christ allegory doesn't work because there is no foundation for it,the christ allegory doesn't work because there is no foundation for it,1
the nicest thing that can be said about stealing harvard ( which might have been called freddy gets molested by a dog ) is that it's not as obnoxious as tom green's freddie got fingered,the nicest thing that can be said about stealing harvard ( which might have been called freddy gets molested by a dog ) is that it's not as obnoxious as tom green's freddie got fingered,1
there's a whole heap of nothing at the core of this slight coming-of-age/coming-out tale,there's a whole heap of nothing at the core of this slight coming-of-age/coming-out tale,1
ecks this one off your must-see list,a few zingers aside the writing is indifferent and jordan brady's direction is prosaic,0
it's just a little too self-satisfied,it's just a little too self-satisfied,1
demeo is not without talent ; he just needs better material,demeo is not without talent ; he just needs better material,1
feels slight as if it were an extended short albeit one made by the smartest kids in class,wait for pay per view or rental but don't dismiss barbershop out of hand,0
after sitting through this sloppy made-for-movie comedy special it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work,after sitting through this sloppy made-for-movie comedy special it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work,1
this movie seems to have been written using mad-libs there can be no other explanation hilariously inept and ridiculous,[t]he ideas of revolution #9 are more compelling than the execution,0
while obviously an extremely personal work it remains inextricably stuck in an emotionally unavailable rut,the film apparently takes place in a fantasy world where people in hotel hallways recite poetry in voice-over instead of speaking to each other,0
it's hard to believe these jokers are supposed to have pulled off four similar kidnappings before,after sitting through this sloppy made-for-movie comedy special it makes me wonder if lawrence hates criticism so much that he refuses to evaluate his own work,0
expect to be reminded of other better films especially seven which director william malone slavishly copies,expect to be reminded of other better films especially seven which director william malone slavishly copies,1
an ambitiously naturalistic albeit half-baked drama about an abused inner-city autistic teen,gets bogged down by an overly sillified plot and stop-and-start pacing,0
even with harris's strong effort the script gives him little to effectively probe lear's soul-stripping breakdown,even with harris's strong effort the script gives him little to effectively probe lear's soul-stripping breakdown,1
every joke is repeated at least four times every joke is repeated at least four times every joke is repeated at least--annoying isn't it ?,every joke is repeated at least four times every joke is repeated at least four times every joke is repeated at least--annoying isn't it ?,1
trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is negligible,trying to make head or tail of the story in the hip-hop indie snipes is enough to give you brain strain -- and the pay-off is negligible,1
the most hopelessly monotonous film of the year noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take,the good and different idea [of middle-aged romance] is not handled well and except for the fine star performances there is little else to recommend " never again ",0
traffics in the kind of prechewed racial clichés that have already been through the corporate stand-up-comedy mill,traffics in the kind of prechewed racial clichés that have already been through the corporate stand-up-comedy mill,1
unfortunately the story and the actors are served with a hack script,unfortunately the story and the actors are served with a hack script,1
simplistic silly and tedious,simplistic silly and tedious,1
unambitious writing emerges in the movie using a plot that could have come from an animated-movie screenwriting textbook,makes a joke out of car chases for an hour and then gives us half an hour of car chases,0
adam sandler is to gary cooper what a gnat is to a racehorse,directed in a paint-by-numbers manner,0
the images are usually abbreviated in favor of mushy obviousness and telegraphed pathos particularly where whitaker's misfit artist is concerned,i can easily imagine benigni's pinocchio becoming a christmas perennial coal isn't as easy to come by as it used to be and this would be a worthy substitute for naughty children's stockings,0
to say this was done better in wilder's some like it hot is like saying the sun rises in the east,a monster combat thriller as impersonal in its relentlessness as the videogame series that inspired it,0
a nearly 21/2 hours the film is way too indulgent,directors harry gantz and joe gantz have chosen a fascinating subject matter but the couples exposing themselves aren't all that interesting,0
the irony is that this film's cast is uniformly superb ; their performances could have -- should have -- been allowed to stand on their own,the irony is that this film's cast is uniformly superb ; their performances could have -- should have -- been allowed to stand on their own,1
there's a heavy stench of 'been there done that' hanging over the film it's everything you'd expect -- but nothing more,ritchie's treatment of the class reversal is majorly ham-fisted from the repetitive manifestos that keep getting thrown in people's faces to the fact amber is such a joke,0
the film never rises above a conventional two dimension tale,the film never rises above a conventional two dimension tale,1
not counting a few gross-out comedies i've been trying to forget this is the first film in a long time that made me want to bolt the theater in the first 10 minutes,not counting a few gross-out comedies i've been trying to forget this is the first film in a long time that made me want to bolt the theater in the first 10 minutes,1
it's a big idea but the film itself is small and shriveled,it's a big idea but the film itself is small and shriveled,1
it is too bad that this likable movie isn't more accomplished the actors try hard but come off too amateurish and awkward,it is too bad that this likable movie isn't more accomplished the actors try hard but come off too amateurish and awkward,1
it's been 13 months and 295 preview screenings since i last walked out on a movie but resident evil really earned my indignant preemptive departure,half of it is composed of snappy patter and pseudo-sophisticated cultural observations while the remainder would be more at home on a daytime television serial,0
memorable for a peculiar malaise that renders its tension flaccid and by extension its surprises limp and its resolutions ritual,a loud witless mess that has none of the charm and little of the intrigue from the tv series,0
the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions but the spell they cast isn't the least bit mesmerizing,the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions but the spell they cast isn't the least bit mesmerizing,1
demme's loose approach kills the suspense,demme's loose approach kills the suspense,1
while certainly more naturalistic than its australian counterpart amari's film falls short in building the drama of lilia's journey,while certainly more naturalistic than its australian counterpart amari's film falls short in building the drama of lilia's journey,1
bigelow offers some flashy twists and turns that occasionally fortify this turgid fable but for the most part the weight of water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness,bigelow offers some flashy twists and turns that occasionally fortify this turgid fable but for the most part the weight of water comes off as a two-way time-switching myopic mystery that stalls in its lackluster gear of emotional blandness,1
every nanosecond of the the new guy reminds you that you could be doing something else far more pleasurable something like scrubbing the toilet or emptying rat traps or doing last year's taxes with your ex-wife,made by jackasses for jackasses,0
doesn't really add up to much,doesn't really add up to much,1
not a stereotype is omitted nor a cliché left unsaid,smothered by its own solemnity,0
it's basically an overlong episode of tales from the crypt,reno does what he can in a thankless situation the film ricochets from humor to violence and back again and ryoko hirosue makes us wonder if she is always like that,0
an unintentional parody of every teen movie made in the last five years,an unintentional parody of every teen movie made in the last five years,1
unofficially national lampoon's van wilder is son of animal house officially it is twice as bestial but half as funny,unofficially national lampoon's van wilder is son of animal house officially it is twice as bestial but half as funny,1
i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd,i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd,1
this is a film about the irksome tiresome nature of complacency that remains utterly satisfied to remain the same throughout even as the hero of the story rediscovers his passion in life the mood remains oddly detached,it's dull spiritless silly and monotonous : an ultra-loud blast of pointless mayhem going nowhere fast,0
a lackluster unessential sequel to the classic disney adaptation of j m barrie's peter pan,lacks dramatic punch and depth,0
all the small moments and flashbacks don't add up to much more than trite observations on the human condition,essentially a collection of bits -- and they're all naughty,0
a zombie movie in every sense of the word--mindless lifeless meandering loud painful obnoxious,if anything see it for karen black who camps up a storm as a fringe feminist conspiracy theorist named dirty dick,0
